Experiment,Flask,Mass,Treatment,Chemical,Sampled,Analysed,Day,Volume,TA,pH,NH4,NOx,PO4
1,1,15.02042,Control,0,03.05.24,13.05.24,0,1000,2544.644758,7.9227,NA,NA,NA
1,2,15.01561,Sulfate,40,03.05.24,13.05.24,0,1000,2644.204778,7.8471,NA,NA,NA
1,3,15.00891,Iron,72,03.05.24,13.05.24,0,1000,3568.474699,7.6082,NA,NA,NA
1,4,15.00198,Control,0,03.05.24,13.05.24,0,1000,2544.003935,7.8951,NA,NA,NA
1,5,14.99772,Sulfate,40,03.05.24,13.05.24,0,1000,2619.454609,7.8538,NA,NA,NA
1,6,15.01134,Iron,72,03.05.24,13.05.24,0,1000,3719.161023,7.5648,NA,NA,NA
1,1,15.02042,Control,0,09.05.24,13.05.24,6,1000,1676.667542,5.0239,NA,NA,NA
1,2,15.01561,Sulfate,40,09.05.24,13.05.24,6,1000,1726.903333,4.9725,NA,NA,NA
1,3,15.00891,Iron,72,09.05.24,13.05.24,6,1000,2295.97291,5.1722,NA,NA,NA
1,4,15.00198,Control,0,09.05.24,13.05.24,6,1000,1708.736508,4.8861,NA,NA,NA
1,5,14.99772,Sulfate,40,09.05.24,13.05.24,6,1000,1703.592741,4.8398,NA,NA,NA
1,6,15.01134,Iron,72,09.05.24,13.05.24,6,1000,1917.119039,5.036,NA,NA,NA
1,1,15.02042,Control,0,16.05.24,16.05.24,13,985,1736.624031,5.0984,2058.93,52.2918965,8587.834821
1,2,15.01561,Sulfate,40,16.05.24,16.05.24,13,985,1805.552928,5.387,1767.525,30.75991877,9005.245536
1,3,15.00891,Iron,72,16.05.24,16.05.24,13,985,5679.058187,5.6576,698.93,61.55491083,4201.674107
1,4,15.00198,Control,0,16.05.24,16.05.24,13,985,1701.066457,5.1219,2451.795,29.14859849,8198.102679
1,5,14.99772,Sulfate,40,16.05.24,16.05.24,13,985,1753.955112,4.9722,2164.655,27.09318611,9564.174107
1,6,15.01134,Iron,72,16.05.24,16.05.24,13,985,4648.044455,5.4551,761.305,36.6655248,4145.200893
1,1,15.02042,Control,0,23.05.24,24.05.24,20,970,1854.615179,5.123,1911.79,50.3141278,11912.61161
1,2,15.01561,Sulfate,40,23.05.24,24.05.24,20,970,1803.768479,5.0968,1455.805,41.32844336,10673.77232
1,3,15.00891,Iron,72,23.05.24,24.05.24,20,970,7041.241891,5.447,267.14,71.57640643,3415.290179
1,4,15.00198,Control,0,23.05.24,24.05.24,20,970,2043.94418,5.1465,1916.95,40.35061338,10639.62054
1,5,14.99772,Sulfate,40,23.05.24,24.05.24,20,970,1833.407226,4.9833,2166.165,57.65838448,12844.08482
1,6,15.01134,Iron,72,23.05.24,24.05.24,20,970,5705.683803,5.5966,730.17,51.550031,3639.84375
1,1,15.02042,Control,0,30.05.24,05.06.24,27,955,2194.000915,4.8619,1360.41,64.0534174,12088.28125
1,2,15.01561,Sulfate,40,30.05.24,05.06.24,27,955,2254.717331,5.2787,1252.44,68.68566434,10639.62054
1,3,15.00891,Iron,72,30.05.24,05.06.24,27,955,9861.024634,5.8034,129.705,122.9407659,3012.611607
1,4,15.00198,Control,0,30.05.24,05.06.24,27,955,2090.006117,4.8235,1139.59,57.55936106,11584.26339
1,5,14.99772,Sulfate,40,30.05.24,05.06.24,27,955,1884.800804,4.9249,1564.755,55.9561494,12030.02232
1,6,15.01134,Iron,72,30.05.24,05.06.24,27,955,8011.036698,5.7734,138.23,103.8030869,3447.433036
1,1,15.02042,Control,0,06.06.24,07.06.24,34,940,1952.368672,4.6969,1087.555,64.27257223,11962.83482
1,2,15.01561,Sulfate,40,06.06.24,07.06.24,34,940,2146.158541,5.1244,NA,NA,NA
1,3,15.00891,Iron,72,06.06.24,07.06.24,34,940,10892.95479,5.6203,104.7,87.94042509,2048.325893
1,4,15.00198,Control,0,06.06.24,07.06.24,34,940,2102.363262,4.7022,808.975,70.7283462,11396.31696
1,5,14.99772,Sulfate,40,06.06.24,07.06.24,34,940,1963.830135,4.7738,860.105,62.62184788,11443.86161
1,6,15.01134,Iron,72,06.06.24,07.06.24,34,940,9370.612941,5.5461,552.16,112.7382582,2567.96875
1,1,15.02042,Control,0,13.06.24,14.06.24,41,925,2155.413046,4.8625,842.705,72.52004336,11653.23661
1,2,15.01561,Sulfate,40,13.06.24,14.06.24,41,925,2248.561831,5.1463,330.52,51.35843001,5894.977679
1,3,15.00891,Iron,72,13.06.24,14.06.24,41,925,12065.02592,5.655,148.715,94.72911704,1385.15625
1,4,15.00198,Control,0,13.06.24,14.06.24,41,925,2119.467012,4.6912,777.005,100.9866852,11772.20982
1,5,14.99772,Sulfate,40,13.06.24,14.06.24,41,925,2051.054288,4.721,825.585,79.66288561,11663.50446
1,6,15.01134,Iron,72,13.06.24,14.06.24,41,925,13192.66393,5.5184,494.755,204.0442774,1517.075893
1,1,15.02042,Control,0,20.06.24,21.06.24,48,920,2138.769226,4.8355,913.355,127.1971111,11919.97768
1,2,15.01561,Sulfate,40,20.06.24,21.06.24,48,920,2223.834173,4.9652,309.655,128.0992669,11667.74554
1,3,15.00891,Iron,72,20.06.24,21.06.24,48,920,12879.71914,5.6277,NA,NA,NA
1,4,15.00198,Control,0,20.06.24,21.06.24,48,920,2238.708754,4.7539,805.585,76.65632397,11553.01339
1,5,14.99772,Sulfate,40,20.06.24,21.06.24,48,920,2216.981735,4.7998,730.54,87.37654649,11823.99554
1,6,15.01134,Iron,72,20.06.24,21.06.24,48,920,18144.62518,5.7157,332.915,216.4759511,571.7633929
1,1,15.02042,Control,0,27.06.24,28.06.24,55,905,2269.241433,4.6467,380.875,100.5672806,10965.95982
1,2,15.01561,Sulfate,40,27.06.24,28.06.24,55,905,2320.41474,4.8115,258.165,143.2554228,11707.03125
1,3,15.00891,Iron,72,27.06.24,28.06.24,55,905,15543.7878,5.6602,141.24,77.87308543,136.8303571
1,4,15.00198,Control,0,27.06.24,28.06.24,55,905,2392.643298,4.8416,825.73,86.15206075,11752.00893
1,5,14.99772,Sulfate,40,27.06.24,28.06.24,55,905,2185.413153,4.4747,313.785,121.6351677,11764.17411
1,6,15.01134,Iron,72,27.06.24,28.06.24,55,905,29745.28744,5.9515,180.19,142.1379207,301.2276786
1,3,15.00891,Iron,72,04.07.24,04.07.24,62,890,17787.84191,5.6626,170.71,109.3089867,71.09375
1,6,15.01134,Iron,72,04.07.24,04.07.24,62,890,45702.09351,6.1391,184.525,89.43325929,640.0669643
1,3,15.00891,Iron,72,18.07.24,09.08.24,76,875,19036.95738,5.8289,178.98,120.6706803,106.8080357
1,6,15.01134,Iron,72,18.07.24,09.08.24,76,875,52401.32908,6.3568,169.94,135.6936158,58.37053571
1,1,15.02042,Control,0,01.08.24,09.08.24,90,890,1857.764705,4.441,286.275,144.0546206,11240.51339
1,2,15.01561,Sulfate,40,01.08.24,09.08.24,90,890,2704.533541,4.5122,229.9,212.3087003,11040.06696
1,6,15.01134,Iron,72,01.08.24,09.08.24,90,860,56762.6933,6.2488,170.84,262.5752008,64.17410714
2,1,10.00387,Control,0,27.06.24,28.06.24,1,2200,2353.920892,5.9254,1691.09,30.18227914,1198.772321
2,2,10.00521,Control,0,27.06.24,28.06.24,1,2200,2297.019465,6.0738,2020.725,30.59067373,1378.236607
2,3,9.99834,Sulfate,27,27.06.24,28.06.24,1,2200,2187.032051,6.0588,1940.495,31.20783591,949.21875
2,4,9.99669,Sulfur,19,27.06.24,28.06.24,1,2200,2283.478174,5.9899,1899.485,30.47377962,1350.558036
