Repeat,ID,Experiment,Flask,Location,Mass,C,N,d13C,d15N
1,Anox_1_1,1,NA,Marmion Lagoon,1.316,33.63514437,0.582307803,-22.33582097,3.284645146
1,Anox_1_2,1,NA,Marmion Lagoon,1.376,33.73709134,0.572792174,-22.06296803,3.265626365
1,Anox_1_3,1,NA,Marmion Lagoon,1.345,33.88569978,0.563728011,-22.16570622,3.044045433
1,Anox_2_1,2,NA,Point Peron,1.392,29.42205847,1.368214525,-17.90588129,3.355857198
1,Anox_2_2,2,NA,Point Peron,1.363,28.80271579,1.52967975,-18.52530221,3.376622801
1,Anox_2_3,2,NA,Point Peron,1.365,29.41161135,1.441764861,-18.34935123,3.486699728
1,Anox_3_1,3,1,The Cove,1.374,29.96316402,1.784844194,-21.54940414,7.313275793
1,Anox_3_3,3,3,The Cove,1.392,30.61366981,1.443494786,-19.18268376,8.936053088
1,Anox_3_5,3,5,The Cove,1.367,30.18117817,1.460802235,-20.2976881,8.170510881
2,Anox_1_1,1,NA,Marmion Lagoon,1.497,34.53123642,0.577828252,-22.12775362,3.301050372
2,Anox_1_2,1,NA,Marmion Lagoon,1.473,34.7142433,0.571879867,-21.96792802,3.352908134
2,Anox_1_3,1,NA,Marmion Lagoon,1.539,34.38815037,0.562946998,-21.99009629,3.446621222
2,Anox_2_1,2,NA,Point Peron,1.521,30.3915236,1.388992125,-17.75839405,3.571645389
2,Anox_2_2,2,NA,Point Peron,1.536,30.19460619,1.592863688,-18.27701437,3.524882053
2,Anox_2_3,2,NA,Point Peron,1.55,30.69044658,1.515845063,-18.18053286,3.562501768
2,Anox_3_1,3,1,The Cove,1.541,31.01102742,1.79960173,-21.37606121,7.55315312
2,Anox_3_3,3,3,The Cove,1.468,31.32007975,1.464310748,-19.29736941,9.096219113
2,Anox_3_5,3,5,The Cove,1.53,30.94030078,1.494717516,-20.29007612,8.292796507
