Box,Rowwise position,ID,Experiment,Flask,Mass,Treatment,Chemical,Sampled,Day
1,1,1_1_0,1,1,15.02042,Control,0,03.05.24,0
1,2,1_2_0,1,2,15.01561,Sulphate,40,03.05.24,0
1,3,1_3_0,1,3,15.00891,Iron,72,03.05.24,0
1,4,1_4_0,1,4,15.00198,Control,0,03.05.24,0
1,5,1_5_0,1,5,14.99772,Sulphate,40,03.05.24,0
1,6,1_6_0,1,6,15.01134,Iron,72,03.05.24,0
1,7,1_1_6,1,1,15.02042,Control,0,09.05.24,6
1,8,1_2_6,1,2,15.01561,Sulphate,40,09.05.24,6
1,9,1_3_6,1,3,15.00891,Iron,72,09.05.24,6
1,10,1_4_6,1,4,15.00198,Control,0,09.05.24,6
1,11,1_5_6,1,5,14.99772,Sulphate,40,09.05.24,6
1,12,1_6_6,1,6,15.01134,Iron,72,09.05.24,6
1,13,1_1_13,1,1,15.02042,Control,0,16.05.24,13
1,14,1_2_13,1,2,15.01561,Sulphate,40,16.05.24,13
1,15,1_3_13,1,3,15.00891,Iron,72,16.05.24,13
1,16,1_4_13,1,4,15.00198,Control,0,16.05.24,13
1,17,1_5_13,1,5,14.99772,Sulphate,40,16.05.24,13
1,18,1_6_13,1,6,15.01134,Iron,72,16.05.24,13
1,19,1_1_20,1,1,15.02042,Control,0,23.05.24,20
1,20,1_2_20,1,2,15.01561,Sulphate,40,23.05.24,20
1,21,1_3_20,1,3,15.00891,Iron,72,23.05.24,20
1,22,1_4_20,1,4,15.00198,Control,0,23.05.24,20
1,23,1_5_20,1,5,14.99772,Sulphate,40,23.05.24,20
1,24,1_6_20,1,6,15.01134,Iron,72,23.05.24,20
1,25,1_1_27,1,1,15.02042,Control,0,30.05.24,27
1,26,1_2_27,1,2,15.01561,Sulphate,40,30.05.24,27
1,27,1_3_27,1,3,15.00891,Iron,72,30.05.24,27
1,28,1_4_27,1,4,15.00198,Control,0,30.05.24,27
1,29,1_5_27,1,5,14.99772,Sulphate,40,30.05.24,27
1,30,1_6_27,1,6,15.01134,Iron,72,30.05.24,27
1,31,1_1_34,1,1,15.02042,Control,0,06.06.24,34
1,32,1_2_34,1,2,15.01561,Sulphate,40,06.06.24,34
1,33,1_3_34,1,3,15.00891,Iron,72,06.06.24,34
1,34,1_4_34,1,4,15.00198,Control,0,06.06.24,34
1,35,1_5_34,1,5,14.99772,Sulphate,40,06.06.24,34
1,36,1_6_34,1,6,15.01134,Iron,72,06.06.24,34
1,37,1_1_41,1,1,15.02042,Control,0,13.06.24,41
1,38,1_2_41,1,2,15.01561,Sulphate,40,13.06.24,41
1,39,1_3_41,1,3,15.00891,Iron,72,13.06.24,41
1,40,1_4_41,1,4,15.00198,Control,0,13.06.24,41
1,41,1_5_41,1,5,14.99772,Sulphate,40,13.06.24,41
1,42,1_6_41,1,6,15.01134,Iron,72,13.06.24,41
1,43,1_1_48,1,1,15.02042,Control,0,20.06.24,48
1,44,1_2_48,1,2,15.01561,Sulphate,40,20.06.24,48
1,45,1_3_48,1,3,15.00891,Iron,72,20.06.24,48
1,46,1_4_48,1,4,15.00198,Control,0,20.06.24,48
1,47,1_5_48,1,5,14.99772,Sulphate,40,20.06.24,48
1,48,1_6_48,1,6,15.01134,Iron,72,20.06.24,48
